TOASTBOX #01-K7, Local Delicacies, Breakfast, Lunch/dinner,, <$10,CCP
OLD TEA HUT #01-K6, Local Delicacies, Breakfast,, <$10,CCP
DELIFRANCE #01-45/46,Western, Breakfast,, <$10,CCP
THE COFFEE BEAN & TEA LEAF #01-41,Western, Breakfast,, <$10,CCP
KRISPY KREME #01-20,Fast Food, Breakfast,, <$10,CCP
ANOTHER BEAN #B1-K5,Fast Food, Breakfast,, <$10,CCP
DOUGH CULTURE #B1-K3,Western, Breakfast,, <$10,CCP
OLD CHANG KEE #B1-K2, Local Delicacies, Breakfast,, <$10,CCP
YA KUN KAYA TOAST #B1-K1, Local Delicacies, Breakfast,, <$10,CCP
PRIMA DELI #B1-05, Local Delicacies, Breakfast,, <$10,CCP
THE DIM SUM PLACE #B1-30/31, Local Delicacies, Breakfast,, <$10,CCP
ANDES BY ASTONS #02-02A, Western,, Lunch/Dinner, >$10,CCP
MY KAMPUNG #02-01, Local Delicacies,, Lunch/Dinner, <$10,CCP
HAN'S #01-51/52/53, Local Delicacies,, Lunch/Dinner, >$10,CCP
GODAIME #01-48, Japanese,, Lunch/Dinner, >$10,CCP
THE WHITE TIFFIN #01-44, Western,, Lunch/Dinner, >$10,CCP
MONSTER CHILI GRILLED FISH & MALA HOTPOT #01-43/44, Local Delicacies,, Lunch/Dinner, >$10,CCP
MANNA KOREAN RESTAURANT #01-39/40, Korean,, Lunch/Dinner, >$10,CCP
JOLLIBEE #01-37 TO 38, Fast Food,, Lunch/Dinner, <$10,CCP
ABURI-EN AND TAMAGO-EN #01-35/36, Japanese,, Lunch/Dinner, >$10,CCP
MANNA #01-30/31, Japanese,, Lunch/Dinner, >$10,CCP
WOK MASTER #01-28, Local Delicacies,, Lunch/Dinner, <$10,CCP
SEOUL GARDEN HOTPOT #01-18/19, Korean,, Lunch/Dinner, >$10,CCP
SUKIYA #01-12, Japanese,, Lunch/Dinner, >$10,CCP
MCDONALD'S #01-10/11, Fast Food,, Lunch/Dinner, <$10,CCP
GONG YUAN MA LA TANG #B1-51/52, Local Delicacies,, Lunch/Dinner, >$10,CCP
LI XIN TEOCHEW FISHBALL NOODLES #B1-50, Local Delicacies,, Lunch/Dinner, >$10,CCP
SAIZERIYA #B1-44/45, Western,, Lunch/Dinner, >$10,CCP
REAL THAI #B1-36, Local Delicacies,, Lunch/Dinner, >$10,CCP
WEE NAM KEE CHICKEN RICE #B1-35, Local Delicacies,, Lunch/Dinner, >$10,CCP
BUTAO & KAGURAZAKA SARYO #B1-34, Japanese,, Lunch/Dinner, >$10,CCP
THE ORIGINAL BOAT NOODLE #B1-34A, Local Delicacies,, Lunch/Dinner, <$10,CCP
YAKINIKU SHOKUDO #B1-32/33, Japanese,, Lunch/Dinner, >$10,CCP
SHABU SAI #B1-28 TO 29, Japanese,, Lunch/Dinner, >$10,CCP
PAPER RICE #B1-26 TO 27, Local Delicacies,, Lunch/Dinner, >$10,CCP
THE SOUP SPOON UNION #B1-24/25, Western,, Lunch/Dinner, >$10,CCP
STUFF'D #B1-20, Western,, Lunch/Dinner, >$10,CCP
ICHIBAN SUSHI AND IDATEN UDON #B1-12/13, Japanese,, Lunch/Dinner, >$10,CCP
WOK HEY #B1-07, Local Delicacies,, Lunch/Dinner, <$10,CCP
LIHO #B1-41, Desserts,,, <$10,CCP
SNACKZ IT! #B1-40, Desserts,,, <$10,CCP
PROOFER BAKERY & PIZZERIA #B1-39, Desserts,,, <$10,CCP
BAWANGCHAJI #B1-04, Desserts,,, <$10,CCP
LLAOLLAO #01-20, Desserts,,, <$10,CCP
HEY LONG CHA #01-K11, Desserts,,, <$10,CCP
SF #B1-38, Desserts,,, <$10,CCP
FRUIT PARADISE TOKYO CAFE #01-K8, Desserts,,, <$10,CCP
BOOST #01-42, Desserts,,, <$10,CCP
MR BEAN #B1-21, Desserts, Breakfast,, <$10,CCP
MUYOO #B1-22, Desserts,,, <$10,CCP
Chicken rice @ building 2 level 2,Local Delicacies,, Lunch/ Dinner, <$10, SUTD
Indian @ building 2 level 2, Local Delicacies,, Lunch/ Dinner, <$10, SUTD
Taiwanese @ building 2 level 2, Local Delicacies,, Lunch/ Dinner, <$10, SUTD
Japanese fusion @ building 2 level 2, Japanese,, Lunch/ Dinner, <$10, SUTD
Mixed rice @ building 2 level 2, Local Delicacies,, Lunch/ Dinner, <$10, SUTD
Noodles @ building 2 level 2, Local Delicacies,, Lunch/ Dinner, <$10, SUTD
Muslim @ building 2 level 2, Local Delicacies,, Lunch/Dinner, <$10, SUTD
Drinks & Dessert @ building 2 level 2,Desserts, Breakfast,, <$10, SUTD
Gom Gom @ building 2 level 1, Fast Food, Breakfast, Lunch/ Dinner, <$10 >$10, SUTD
Dstar Bistro @ building 1 level 1, Western,, Lunch/Dinner, >$10, SUTD
Pick & Go @ building 2 level 1, Fast Food, Breakfast, Lunch/Dinner, <$10, SUTD
